# Expected-reading corpus — the faithfulness gate (README §7c). TAB-separated:
#   sentence <TAB> skeleton (sense-erased) <TAB> note
# The gate asserts each unit still CONTAINS its skeleton among its readings — robust to
# added ambiguity, unlike encoded-count. A MISS = a fundamentally-correct reading was lost.
#
# UPDATE 2026-07-29: the rate is 60 OF 62 under the tracked replay
# (`ranks/2026-07-29-demonstratives.json` on `wordnet-umls-aligned-2026-07-29-demonstratives`),
# and BOTH misses are understood. Do not "fix" either by repinning.
#
#   «Synthetic lethality is an interaction between two genetic events.»  DRAW VARIANCE, not a defect.
#     Measured over THREE live draws on this lexicon: missed in draws 1 and 3, HIT in draw 2. This is
#     the same unit ranks/README.md already names as the previous recording's variance miss. The
#     adopted reference is draw 1, so it carries the miss; adopting draw 2 to make the gate green
#     would be exactly the resampling that file forbids.
#
#   «Depletion of WRN induced double-stranded DNA breaks.»  SENSE-ELIMINATION, structure intact.
#     Missed in all 3 draws, so it is systematic — but it is NOT a lost reading, and the deduction is
#     tight: the sentence contains no demonstrative, so 166b234 changed nothing in its lexicon, and
#     950f1e9 was already in place when this same pin scored 62/62. That leaves f832837, which filters
#     only the RANKER's candidate list and cannot remove a category the seed filter kept. So the
#     transitive reading `induce(breaks, depletion-of-WRN)` is still seedable; the cap stops choosing
#     it. Cap-only never realised this pin either (before OR after), so cap-only absence is no
#     evidence here.
#
# THREE-DRAW VARIANCE BAND on this lexicon (why one draw is not a measurement):
#   draw          encoded  grammar-gap  total-readings  total-skeletons  expected-hits
#   1 (adopted)   12       0            905             171              59  (60 after the re-pin)
#   2             12       0            903             171              60
#   3             12       0            893             171              59
# Structure is near-deterministic — total-skeletons IDENTICAL at 171 across all three, readings within
# 1.3% — and ALL the variance is in sense selection. So a structural A/B may be compared across draws;
# a pin count may NOT.
#
# UPDATE 2026-07-28: under the tracked REPLAY the rate is now 48/48. The single deterministic miss was a STALE PIN
# ('Synthetic lethality is an interaction ...'), found by the adjudication ledger's stale-row report and re-pinned;
# the band below was measured on LIVE reranker draws and is NOT retested here.
# EXPECTED HIT RATE IS 44-45 OF 45, NOT 45/45 (measured 2026-07-26; accepted for now, REVISIT once
# the remaining pins are determined and more invalid skeletons are gone). With a LIVE reranker, ~1
# pin fails per draw and WHICH ONE VARIES. FOUR live draws on the same lexicon scored 44, 44, 43, 44
# — 45/45 did not come up once, and one draw lost TWO pins. The misses were «These classifications
# were highly concordant…» (draws 1 and 4), «Synthetic lethality is an interaction…» (draw 2), and two
# at once (draw 3). The 45/45 recorded earlier on the OLD lexicon was itself a single sample and
# should not be read as a stable property. Every failing pin's structure stayed REACHABLE: the
# concordant one is present in
# cap-only on both lexicons (12 skeletons), the synthetic-lethality one in the OTHER live draw — so
# these are sense-ELIMINATION misses, not lost readings. Do NOT repin (that would bake in the wrong
# analysis: the synthetic-lethality miss differs from its pin only by `§(G#2)` vs `gt(§(G#2), §)`,
# i.e. `genetic` read as GRADABLE instead of intersective) and do NOT resample to green (cherry-
# picking). Cause is `SENSE_CAP=2` truncating by emission order over a wide sense space — see the
# long note in `kernel/src/dcg/parse/seed.rs`, which records two fixes already measured and rejected.
#
# METHOD NOTE from the same measurement: across the four draws SKELETONS are stable (307/315/310/309,
# range 2.6%) but READINGS are not (1149-1435, 25%). Compare readings only within one fixed `--replay`
# recording; across recordings, compare skeletons.
#
# SELECTING a draw that scores 45/45 was considered and is NOT available (none of four did). Note for
# whoever tries it: picking a recording BY its pin score biases the artifact toward passing, so that
# recording can no longer detect sense-RANKING regressions — acceptable only if the A/B in question is
# structural (skeletons), and worth saying out loud in whatever adopts it.
# VERIFIED 2026-07-22: each entry's reading was checked via English gloss or manual
# λ-term dissection. Two originally-seeded units were ENCODED on a WRONG reading and
# REMOVED: "MSI is associated with…" ('associated with' reified as UMLS C0332281 into a
# noun compound, not the verb) and "These data sets are project Achilles and project DRIVE"
# ('and' reified as UMLS C1515981 into a compound pile, not a coordination). Both are the
# function-word/qualifier reification defect; re-add once it is fixed and the correct reading pins.
# REMOVED 2026-07-25: "Project Achilles and project DRIVE identified WRN as the top preferential
# dependency in MSI cell lines compared to MSS cell lines." — pinned on a WRONG ATTACHMENT. The pin
# carried prep_in/prep_to predicated of the PROJECTS ("Project Achilles, in MSI cell lines, identified
# …"), but the study's own chain encodes the claim as onco:TopDifferentialDependency(gene, context)
# with context = "Achilles_MSI"/"DRIVE_MSI" (chain/05-phase1-discovery.esl) — the MSI context and the
# MSS contrast belong to the DEPENDENCY, not to the identifying event. Same arbiter method as D62 §4a.
# The pin's own note had already conceded the object realisation was "incidental to that verification
# and never adjudicated"; it is now positively wrong, and a wrong pin is worse than none — it would
# VETO the correct reading once that becomes derivable.
# The correct reading is NOT currently in the parse space: of the unit's 204 skeletons, 44 get the
# essive right (the(Σ dependency. top ∧ preferential ∧ prep_in ∧ prep_to).1) with both projects as
# named individuals, but ALL of them read "compared" as the NOUN comparison (wn:compare.n.04746842)
# absorbed into the in-PP object, because `compared` has no (S[pss]\NP)/cat_pp_arg(prep_to) entry —
# WordNet records no oblique frame for `compare`, and the verb analogue of adjective-frames.tsv does
# not exist. RE-ADD once `compare` can govern `to` AND a post-nominal reduced-participial attachment
# is confirmed, with the PPs nested in the dependency NP.
# baseline replay. "encoded" is NOT proof of "correct" (cf. the 2026-07-20 gloss bug), so
The co-occurrence of these two events leads to cell death.	§(kind_of(§), the(ΣG#0:§. prep_of(G#0, the(ΣG#1:§. compound_kind(G#1, §)).1)).1)	verified 2026-07-22 (gloss)
Defects in DNA mismatch repair promote a hypermutable state.	ΠG#0:Prop. ΠG#1:ΣG#1:§. gt(§(G#1), §). §(G#1.1, kind_of(ΣG#2:§. prep_in(G#2, kind_of(ΣG#3:§. compound_kind(G#3, §))))) → G#0 → G#0	verified 2026-07-25 (gloss): the prep_in object is the compound 'DNA mismatch repair'. The rejected skeleton makes it atomic and drops DNA
These mutations occur in nucleotide repeat regions.	And(§(the(§)), prep_in(the(§), kind_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §)))))	verified 2026-07-25 (gloss): circumstantial VP-adjunct And(occur(subj), prep_in(subj, …)) over the two-level compound 'nucleotide [repeat regions]' (same nesting as the pinned 'Nucleotide repeat regions are microsatellites'). The rejected skeleton makes `occur` transitive and swallows the preposition
These classifications were highly concordant with PCR-based MSI phenotyping and with predicted MMR deficiency.	And(And(gt(§(the(§)), §), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), §(G#0, kind_of(§)))))), And(gt(§(the(§)), §), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), ΠG#1:Prop. ΠG#2:Entity. §(G#0, G#2) → G#1 → G#1)))))	verified 2026-07-25 (gloss): 'highly concordant' is the gradable adjective gt(deg(·), std), distributed over the two `with` PPs. The rejected skeleton takes the copula referentially (the(class, restrictor, x)) — 'the classification that is Concordance', the noun reading of concordant
WRN encodes a RecQ DNA helicase.	ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, §) → G#0 → G#0	verified 2026-07-25 (gloss): 'a RecQ DNA helicase' is the indefinite GQ over a compound restrictor. The rejected skeleton invents a relative clause — is_a(helicase, RecQ) — instead of the compound. Cardinality opaque, same caveat as the two-data-sets / three-groups GQ siblings
These findings remained true with PCR-based MSI classifications.	And(§(λG#0. gt(§(G#0), §), the(§)), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), §(G#0, kind_of(§))))))	verified 2026-07-25 (gloss): 'with PCR-based MSI classifications' is a circumstantial VP-adjunct on the subject — And(remain-true(subj), prep_with(subj, …)). The rejected skeleton binds the PP inside the `true` predicate ('true-with-classifications')
The four other RecQ DNA helicases were not preferentially essential in MSI cell lines.	And(gt(§(the(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)))).1), §) → False, prep_in(the(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)))).1, kind_of(ΣG#0:§. compound_kind(G#0, §))))	verified 2026-07-25 (gloss): the negation scopes over the PREDICATE and the locative is asserted — 'in MSI cell lines, they were not preferentially essential'. The rejected skeleton negates the whole conjunction, ¬(essential ∧ in-MSI-lines), which does not assert the frame
MSI is most commonly observed in colorectal, endometrial, gastric and ovarian cancers.	And(gt(§(kind_of(§)), §), prep_in(kind_of(§), kind_of(ΣG#0:§. Or(Or(Or(§(G#0), §(G#0)), §(G#0)), §(G#0)))))	verified 2026-07-25 (gloss): 'most commonly' is the degree gt(deg(observed), std), with the four adjectives disjoined over the single head 'cancers'. The rejected skeleton drops the degree adverb entirely
We also identified MSI cell lines from rare lineages.	§(kind_of(ΣG#0:§. And(compound_kind(G#0, §), prep_from(G#0, kind_of(ΣG#1:§. gt(§(G#1), §))))), speaker)	verified 2026-07-25 (gloss + forest trace): 'from rare lineages' NESTS into the object NP — identify(kind_of(Σ. And(compound_kind(·,MSI), prep_from(·, rare-lineages))), we). The rejected skeleton attaches prep_from to `speaker` ('we from rare lineages'). This reading was silently truncated away by CLASSIFY_BUDGET until the distinct-sem dedup
These cell lines contained fewer deletion mutations in microsatellite regions than typical lineages.	gt(card(ΣG#0:§. prep_in(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))), kind_of(ΣG#0:§. gt(§(G#0), §))), card(ΣG#0:§. prep_in(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))), the(§)))	verified 2026-07-25 (gloss): 'in microsatellite regions' attaches to the head 'deletion mutations' and its object is the compound 'microsatellite regions'. The rejected skeleton makes the PP a compound modifier and leaves the PP object atomic
These lines possess events that are predictive of MMR deficiency.	§(kind_of(ΣG#0:§. And(gt(§(G#0), §), prep_of(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))))), the(§))	verified 2026-07-25 (gloss): relative clause as And(gt(predictive(·), std), prep_of(·, MMR-deficiency)) — the Fix A (c) positive relational predication — over the compound 'MMR deficiency'. The rejected skeleton folds 'predictive of X' into a compound modifier of `events`
WRN dependency may require specific lineages or a stronger mutation phenotype.	Possible(Or(§(kind_of(ΣG#0:§. gt(§(G#0), §)), kind_of(ΣG#0:§. compound_kind(G#0, §))), ΠG#0:Prop. ΠG#1:ΣG#1:§. And(compound_kind(G#1, §), gt(§(G#1), §)). §(G#1.1, kind_of(ΣG#2:§. compound_kind(G#2, §))) → G#0 → G#0))	verified 2026-07-25 (gloss): one modal scoping OVER the coordination, Possible(Or(…)), matching the surface 'may [require A or B]'. The rejected skeleton distributes Possible into each disjunct. (Logically equivalent for ◇/∨; pinned on the surface bracketing)
This impairment can lead to dependence on specific repair proteins.	Possible(§(kind_of(ΣG#0:§. prep_on(G#0, kind_of(ΣG#1:§. And(compound_kind(G#1, §), gt(§(G#1), §))))), the(§)))	verified 2026-07-25 (gloss): 'on specific repair proteins' attaches to the OBJECT 'dependence', and its own object is the adjective-over-compound 'specific [repair proteins]' — And(compound_kind, gt), the shape pinned for 'deficient DNA mismatch repair'. Rejected: prep_on hung on the subject ('the impairment on specific repair proteins'), and a variant that folds the PP into a compound modifier. 'lead TO' is the governed preposition, absorbed by the arg/adjunct suppression
We queried dependencies in cancers with MSI.	§(kind_of(ΣG#0:§. prep_in(G#0, kind_of(ΣG#1:§. prep_with(G#1, kind_of(§))))), speaker)	verified 2026-07-25 (gloss): the PPs NEST — dependencies in [cancers with MSI]. Both rejected skeletons attach prep_in and prep_with FLAT to 'dependencies' (differing only in conjunct order), which asserts the dependencies rather than the cancers carry MSI
These libraries define genes that were essential for proliferation and survival.	§(kind_of(ΣG#0:§. And(And(prep_for(G#0, kind_of(§)), prep_for(G#0, kind_of(§))), gt(§(G#0), §))), the(§))	verified 2026-07-25 (gloss): 'essential for [proliferation and survival]' — the coordination distributes prep_for over both objects inside the relative clause, the same distributed-coordination convention pinned for 'MSI occurs in colon, gastric, endometrial and ovarian cancers'. Rejected: skeletons that coordinate at the CLAUSE level, making the libraries 'define survival' | RE-PINNED 2026-07-27 (conjunct order only, same reading): `conjoin_canonical`'s sort key is now the conjunct's BETA-NORMAL form, so the three restrictors {gt, prep_for, prep_for} on the relative clause's Sigma emit in canonical order And(And(prep_for, prep_for), gt) instead of And(gt, And(prep_for, prep_for)). Verified NOT a lost reading: the new skeleton is a character-multiset match of the old one -- identical conjuncts, identical claim, different arrangement. Previously: §(kind_of(ΣG#0:§. And(gt(§(G#0), §), And(prep_for(G#0, kind_of(§)), prep_for(G#0, kind_of(§))))), the(§))
We ascertained MSI status with sequencing.	And(§(kind_of(ΣG#0:§. compound_kind(G#0, §)), speaker), prep_with(speaker, kind_of(§)))	verified 2026-07-25 (gloss): 'with sequencing' is the instrumental VP-adjunct And(ascertain(status, we), prep_with(we, sequencing)) — the same subject-anchored adjunct shape pinned for 'These findings remained true with PCR-based MSI classifications'. Rejected: folding the instrument into the object NP ('MSI status with sequencing'), which makes sequencing a property of the status rather than of the ascertaining

